City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,alice springs,-23.7,133.8833,310.9,13,0,5.14,AU,1701668340
308,swainsboro,32.5974,-82.3337,290.09,94,0,0.0,US,1701668340
309,taksimo,56.3444,114.8794,259.3,91,100,1.09,RU,1701668340
310,mananjary,-21.2167,48.3333,299.05,57,33,1.58,MG,1701668340
311,manicore,-5.8092,-61.3003,296.0,98,100,0.2,BR,1701668341
312,nova vicosa,-17.8919,-39.3719,297.48,88,4,3.9,BR,1701668341
313,baukau,51.5526,7.2042,275.67,68,100,1.79,DE,1701668341
314,mount darwin,-16.7725,31.5838,297.16,43,9,2.77,ZW,1701668341
315,ballina,-28.8667,153.5667,298.58,76,55,5.33,AU,1701668342
316,qingdao,36.0986,120.3719,285.93,26,0,5.0,CN,1701668342
317,callao,-12.0667,-77.15,294.1,77,75,3.6,PE,1701668336
318,barra de santo antonio,-9.4047,-35.5072,298.75,88,13,4.43,BR,1701668342
319,ugoofaaru,5.6667,73.0,301.74,74,11,3.89,MV,1701668343
320,praia da vitoria,38.7333,-27.0667,286.9,82,75,2.36,PT,1701668343
321,colonia,50.9333,6.95,274.78,69,0,5.14,DE,1701668343
322,nanga eboko,4.6833,12.3667,294.09,96,87,0.69,CM,1701668343
323,qidu,26.7653,119.5472,288.0,95,100,0.57,CN,1701668344
324,mina clavero,-31.721,-65.0062,286.11,53,100,1.98,AR,1701668344
325,brokopondo,4.75,-55.1667,297.45,93,21,3.77,SR,1701668344
326,smithers,54.7804,-127.1743,275.33,87,40,4.12,CA,1701668344
327,fisterra,42.9049,-9.2629,286.49,75,23,11.05,ES,1701668345
328,oamaru,-45.0784,170.9801,285.58,70,87,3.11,NZ,1701668345
329,contamana,-7.3333,-75.0167,297.18,82,29,1.28,PE,1701668346
330,koppies,-27.2418,27.5742,298.56,31,73,3.33,ZA,1701668346
331,kosciusko,33.0576,-89.5876,279.94,79,99,2.39,US,1701668254
332,inarajan village,13.2736,144.7484,304.69,84,60,8.53,GU,1701668346
333,warmbad,-28.45,18.7333,294.84,30,0,4.87,NA,1701668347
334,balqash,46.8481,74.995,273.48,64,0,6.0,KZ,1701668347
335,richards bay,-28.783,32.0377,296.18,84,74,2.22,ZA,1701668347
336,paita,-5.0892,-81.1144,293.8,83,45,4.82,PE,1701668347
337,zhumysker,49.3333,49.4,280.97,95,96,4.11,KZ,1701668348
338,port alfred,-33.5906,26.891,291.03,87,100,0.89,ZA,1701668348
339,lazaro cardenas,17.9583,-102.2,297.64,84,100,1.87,MX,1701668348
340,camana,-16.6228,-72.7111,291.87,82,61,2.5,PE,1701668348
341,sao vicente,-23.9631,-46.3919,299.25,26,91,0.45,BR,1701668349
342,urengoy,65.9667,78.3667,240.89,95,16,3.72,RU,1701668349
343,ancud,-41.8697,-73.8203,279.38,89,1,2.32,CL,1701668349
344,tual,-5.6667,132.75,302.0,72,74,2.43,ID,1701668349
345,kayangel,8.0823,134.7173,300.3,85,100,6.49,PW,1701668350
346,i-n-salah,27.1935,2.4607,285.56,34,0,5.7,DZ,1701668350
347,lluta,-16.0147,-72.0142,285.64,32,26,0.52,PE,1701668350
348,gbarnga,6.9956,-9.4722,294.38,98,15,0.86,LR,1701668350
349,rockland,41.1668,-74.0496,280.73,92,99,1.88,US,1701668351
350,xai-xai,-25.0519,33.6442,299.7,56,20,1.52,MZ,1701668351
351,fortaleza,-3.7227,-38.5247,301.05,83,20,3.6,BR,1701668351
352,chuzhou,32.3219,118.2978,287.53,27,100,3.26,CN,1701668351
353,pak phanang,8.3511,100.202,302.16,80,100,3.56,TH,1701668351
354,bardai,11.65,7.2333,292.22,26,93,3.55,NG,1701668352
355,koryazhma,61.3143,47.1691,257.54,96,100,2.15,RU,1701668262
356,khorixas,-20.3667,14.9667,296.19,57,98,3.46,NA,1701668352
357,meiktila,20.8667,95.8667,301.06,56,80,4.18,MM,1701668353
358,kidal,18.4411,1.4078,292.5,13,17,4.19,ML,1701668353
359,yakeshi,49.2833,120.7333,262.77,93,90,3.05,CN,1701668353
360,dabakala,8.3667,-4.4333,296.16,75,9,1.78,CI,1701668353
